event_id,timestamp,datetime,tier,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_transferred,raw_payload,attack_type,kill_chain_stage,campaign_id,is_attack
EVT_0000001,1785553230.0,2026-08-01T08:00:30,Tier1_Firewall,198.51.100.172,10.0.1.16,40002,53,TCP,DENY,1044.0,Jan 21 00:00:09 dnsmasq[3468]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 10.143.0.103,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000002,1785553245.0,2026-08-01T08:00:45,Tier1_Firewall,198.51.100.172,10.0.1.16,40003,53,TCP,DENY,1052.0,Jan 21 00:00:09 dnsmasq[3468]: forwarded 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.231.254,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000003,1785553260.0,2026-08-01T08:01:00,Tier1_Firewall,198.51.100.172,10.0.1.16,40004,53,TCP,DENY,1036.0,Jan 21 00:00:09 dnsmasq[3468]: reply 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info is 195.128.194.168,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000004,1785553275.0,2026-08-01T08:01:15,Tier1_Firewall,198.51.100.172,10.0.1.16,40005,53,TCP,DENY,1044.0,Jan 21 00:00:31 dnsmasq[3468]: query[A] 3x6-.597-.L**fA/ib4pGEIb5*uJ223L5A/pWGilEyrR-.u9lQ3wFEj1tPwCHh73wG6GKKEMkqDT/d*3-.LvX0RzIuTHdNz11Xyw21NB8jaa8CNw7CaC-.yai016WDS1Ypa5Tr/uckb0Hv2k9C1eU7Og-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 10.143.0.103,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000005,1785553290.0,2026-08-01T08:01:30,Tier1_Firewall,198.51.100.172,10.0.1.16,40006,53,TCP,DENY,1052.0,Jan 21 00:00:31 dnsmasq[3468]: forwarded 3x6-.597-.L**fA/ib4pGEIb5*uJ223L5A/pWGilEyrR-.u9lQ3wFEj1tPwCHh73wG6GKKEMkqDT/d*3-.LvX0RzIuTHdNz11Xyw21NB8jaa8CNw7CaC-.yai016WDS1Ypa5Tr/uckb0Hv2k9C1eU7Og-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.231.254,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000006,1785553305.0,2026-08-01T08:01:45,Tier1_Firewall,198.51.100.172,10.0.1.16,40007,53,TCP,DENY,1036.0,Jan 21 00:00:31 dnsmasq[3468]: reply 3x6-.597-.L**fA/ib4pGEIb5*uJ223L5A/pWGilEyrR-.u9lQ3wFEj1tPwCHh73wG6GKKEMkqDT/d*3-.LvX0RzIuTHdNz11Xyw21NB8jaa8CNw7CaC-.yai016WDS1Ypa5Tr/uckb0Hv2k9C1eU7Og-.customers_2017.xlsx.email-19.kennedy-mendoza.info is 195.128.194.168,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000007,1785553320.0,2026-08-01T08:02:00,Tier1_Firewall,198.51.100.172,10.0.1.16,40008,53,TCP,DENY,1044.0,Jan 21 00:00:49 dnsmasq[3468]: query[A] 3x6-.598-.IzQN/wr2yUx2rxlAUPMOsynA0ZKIvumnoL-.Hg/AycJw6ACgKrw4KKB1ASbV7ubB145dDf-.CsWpQq3eV30YNmIJF9fzu6Sy1x1Pho/2qd-.kOS1WROMNa7FCzD5BvX9BIV2J2uqQ5utPK-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 10.143.0.103,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000008,1785553335.0,2026-08-01T08:02:15,Tier1_Firewall,198.51.100.172,10.0.1.16,40009,53,TCP,DENY,1052.0,Jan 21 00:00:49 dnsmasq[3468]: forwarded 3x6-.598-.IzQN/wr2yUx2rxlAUPMOsynA0ZKIvumnoL-.Hg/AycJw6ACgKrw4KKB1ASbV7ubB145dDf-.CsWpQq3eV30YNmIJF9fzu6Sy1x1Pho/2qd-.kOS1WROMNa7FCzD5BvX9BIV2J2uqQ5utPK-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.231.254,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000009,1785553350.0,2026-08-01T08:02:30,Tier1_Firewall,198.51.100.172,10.0.1.16,40010,53,TCP,DENY,1036.0,Jan 21 00:00:49 dnsmasq[3468]: reply 3x6-.598-.IzQN/wr2yUx2rxlAUPMOsynA0ZKIvumnoL-.Hg/AycJw6ACgKrw4KKB1ASbV7ubB145dDf-.CsWpQq3eV30YNmIJF9fzu6Sy1x1Pho/2qd-.kOS1WROMNa7FCzD5BvX9BIV2J2uqQ5utPK-.customers_2017.xlsx.email-19.kennedy-mendoza.info is 195.128.194.168,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000010,1785553365.0,2026-08-01T08:02:45,Tier1_Firewall,198.51.100.172,10.0.1.16,40011,53,TCP,DENY,1044.0,Jan 21 00:01:01 dnsmasq[3468]: query[A] 3x6-.599-.Z*whNooy*Qten1O1tKXBeVVSzQwVo69d7I-.A0RfGgouIt6vBQ4uNRfegJiRPuLsGGAksX-.Dutx5XJIuv2ua8cNbxCF7bC9j2ywUlckJb-.iIAMJsJskAWiS0uWdbfenwI6EJMlC3LstY-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 10.143.0.103,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000011,1785553380.0,2026-08-01T08:03:00,Tier1_Firewall,198.51.100.172,10.0.1.16,40012,53,TCP,DENY,1052.0,Jan 21 00:01:01 dnsmasq[3468]: forwarded 3x6-.599-.Z*whNooy*Qten1O1tKXBeVVSzQwVo69d7I-.A0RfGgouIt6vBQ4uNRfegJiRPuLsGGAksX-.Dutx5XJIuv2ua8cNbxCF7bC9j2ywUlckJb-.iIAMJsJskAWiS0uWdbfenwI6EJMlC3LstY-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.231.254,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
EVT_0000012,1785553395.0,2026-08-01T08:03:15,Tier1_Firewall,198.51.100.172,10.0.1.16,40013,53,TCP,DENY,1036.0,Jan 21 00:01:01 dnsmasq[3468]: reply 3x6-.599-.Z*whNooy*Qten1O1tKXBeVVSzQwVo69d7I-.A0RfGgouIt6vBQ4uNRfegJiRPuLsGGAksX-.Dutx5XJIuv2ua8cNbxCF7bC9j2ywUlckJb-.iIAMJsJskAWiS0uWdbfenwI6EJMlC3LstY-.customers_2017.xlsx.email-19.kennedy-mendoza.info is 195.128.194.168,dnsteal,1,CAMPAIGN_RUSSELLMITCHELL,1
